year,catch_tons
1980,182500
1981,191500
1982,217000
1983,236300
1984,270200
1985,290000
1986,318000
1987,313500
1988,345300
1989,325500
1990,325800
1991,329000
1992,307100
1993,306500
1994,314200
1995,304600
1996,288500
1997,293000
1998,292800
1999,263900
2000,279500
2001,270000
2002,254300
2003,243300
2004,256800
2005,235300
2006,223300
2007,217300
2008,227600
2009,206100
2010,193800
2011,176000
2012,156600
2013,146600
2014,122500
2015,108600
2016,95000
2017,76900
2018,62200
2019,53900
2020,48000
2021,38700
2022,33100
2023,26900
2024,20100
