display_order,prefecture,store_count,store_rank,stores_per_100k,per_100k_rank
1,北海道,895,5,17.27,8
2,青森県,213,24,17.44,6
3,岩手県,190,28,15.89,16
4,宮城県,360,13,15.72,17
5,秋田県,160,32,16.93,10
6,山形県,179,30,16.97,9
7,福島県,237,22,13.08,27
8,茨城県,433,11,15.18,19
9,栃木県,310,16,16.14,15
10,群馬県,290,17,15.05,21
11,埼玉県,735,7,10.01,39
12,千葉県,797,6,12.70,29
13,東京都,2462,1,17.57,4
14,神奈川県,942,4,10.20,38
15,新潟県,366,12,16.81,11
16,富山県,180,29,17.56,5
17,石川県,251,20,22.31,2
18,福井県,136,36,17.89,3
19,山梨県,191,27,23.73,1
20,長野県,288,18,14.17,23
21,岐阜県,326,14,16.62,13
22,静岡県,606,10,16.80,12
23,愛知県,1012,3,13.46,25
24,三重県,266,19,15.15,20
25,滋賀県,118,41,8.36,45
26,京都府,318,15,12.42,30
27,大阪府,1291,2,14.66,22
28,兵庫県,725,8,13.35,26
29,奈良県,129,38,9.81,40
30,和歌山県,139,35,15.21,18
31,鳥取県,67,46,12.20,32
32,島根県,78,45,11.73,35
33,岡山県,172,31,9.17,42
34,広島県,243,21,8.74,43
35,山口県,124,40,9.34,41
36,徳島県,86,43,12.08,33
37,香川県,81,44,8.60,44
38,愛媛県,159,33,12.04,34
39,高知県,55,47,8.04,46
40,福岡県,631,9,12.31,31
41,佐賀県,133,37,16.50,14
42,長崎県,226,23,17.42,7
43,熊本県,194,26,11.23,37
44,大分県,129,39,11.58,36
45,宮崎県,150,34,14.14,24
46,鹿児島県,206,25,13.07,28
47,沖縄県,109,42,7.43,47
