prefecture,value,store_count,population_estimate
北海道,17.27,895,5182397
青森県,17.44,213,1221330
岩手県,15.89,190,1195721
宮城県,15.72,360,2290076
秋田県,16.93,160,945068
山形県,16.97,179,1054803
福島県,13.08,237,1811927
茨城県,15.18,433,2852437
栃木県,16.14,310,1920694
群馬県,15.05,290,1926910
埼玉県,10.01,735,7342657
千葉県,12.7,797,6275591
東京都,17.57,2462,14012521
神奈川県,10.2,942,9235294
新潟県,16.81,366,2177275
富山県,17.56,180,1025057
石川県,22.31,251,1125056
福井県,17.89,136,760201
山梨県,23.73,191,804888
長野県,14.17,288,2032463
岐阜県,16.62,326,1961492
静岡県,16.8,606,3607143
愛知県,13.46,1012,7518574
三重県,15.15,266,1755776
滋賀県,8.36,118,1411483
京都府,12.42,318,2560386
大阪府,14.66,1291,8806276
兵庫県,13.35,725,5430712
奈良県,9.81,129,1314985
和歌山県,15.21,139,913872
鳥取県,12.2,67,549180
島根県,11.73,78,664962
岡山県,9.17,172,1875682
広島県,8.74,243,2780320
山口県,9.34,124,1327623
徳島県,12.08,86,711921
香川県,8.6,81,941860
愛媛県,12.04,159,1320598
高知県,8.04,55,684080
福岡県,12.31,631,5125914
佐賀県,16.5,133,806061
長崎県,17.42,226,1297359
熊本県,11.23,194,1727516
大分県,11.58,129,1113990
宮崎県,14.14,150,1060820
鹿児島県,13.07,206,1576129
沖縄県,7.43,109,1467026
